Core,Latitude,Longitude,Water depth (m),Annual Averaged SST,A-M-J,J-F-M,J-A-S,O-N-D,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacculifer w/o sac,Globigerinoides sacculifer with sac,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics
DW010,3.33,-130.62,4490,26.4831,27.4053,26.1704,26.2123,26.1446,0,0,0,3.52,3.52,0,0.23,1.17,1.41,0.23,0.23,1.17,0,0.94,0,0.47,0,0,0,0.47,2.35,27,2.11,0,12.68,0.23,0,0,0,1.64,0,0,0,0,23,21.13,0,44.13,0,1.41,0,0,0,0,0,0,100
DW013,-9.98,-133.38,4340,27.3492,27.8665,27.7123,26.8261,26.992,0.52,0.26,0,11.43,11.43,0,4.42,8.57,12.99,12.99,0.52,8.05,0.78,0.78,0.52,0.78,0,0,0.26,0,0.26,2.08,12.21,0,10.39,0,0,0,0,0.26,0,0,0,0,2.34,10.13,0,12.47,0,11.43,0,0,0,0,0,1.04,100
DW017,-16.78,-148.48,4200,27.5563,27.928,28.4513,26.6139,27.2321,0.21,4.98,0,69.5,69.5,0,3.73,2.07,5.81,0.21,0,3.11,2.49,1.66,0,0.41,0.21,0,0,0,0,0.21,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0.21,0,0.21,0,8.71,0,0,0,0,0,1.87,100
DW026,-28.57,-143.67,4240,21.7954,22.46,23.9529,19.7294,21.0393,0.84,7.84,0,34.73,34.73,0,2.52,1.96,4.48,0,0,3.36,0.28,2.8,0,1.12,0,0,0,0,0.28,0,0,0,0.28,22.41,6.72,1.96,8.68,10.36,0,0,0.56,0,0,0,0,0,0.28,0.28,0,0,0,0,0,1.4,100
DW034,-44.22,-127.33,4600,11.2654,11.3555,13.6857,9.47526,10.5452,1.24,0,0,0.25,0.25,0,0,0,0,0,0,0,0,43.81,0.25,0.5,0,0,0.74,4.7,12.38,5.94,0,0,0,15.35,12.38,0.5,12.87,0.5,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0.99,100
DW035,-44.35,-127.23,4675,11.1512,11.221,13.5712,9.36851,10.4442,0,0,0,0,0,0,0,0,0,0,0,0,0.29,35.26,4.62,0.29,0,0,0.29,2.89,12.72,18.5,0,0,0,7.23,12.14,0,12.14,4.34,0,0,0.29,0,0,0,0,0,0,0.29,0,0,0,0,0,0.87,100
DW036,-45.5,-119.83,3770,9.96186,10.1706,11.8466,8.33847,9.49175,0,0,0,0,0,0,0,0,0,0,0,0,0,36.45,0.62,0,0,0,8.41,24.61,7.79,2.8,0,0,0,5.3,6.85,0,6.85,0,0,0,0.31,0,0,0,0,0,0,6.23,0,0,0,0,0,0.62,100
DW048,-42,-102,4240,12.3789,12.7172,15.0293,10.2683,11.5007,2.33,0,0,1.86,1.86,0,0,0,0,0,0,0.23,0.47,44.99,2.56,0.23,0,0,1.86,2.33,5.59,6.06,0.23,0,0,18.88,10.49,0.23,10.72,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0.47,100
DW050,-42.9,-97.08,4550,11.6481,12.1859,14.3127,9.50444,10.5892,2.66,0.3,0,0,0,0,0,0,0,0,0,0,0,53.85,10.95,0.89,0,0,0,0.3,1.18,1.48,0,0,0,8.88,17.75,0.3,18.05,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,100
DW058,-34.5,-79.5,3780,16.7738,17.4729,19.3221,14.3159,15.9844,1.17,0,0,1.47,1.47,0,0,0,0,0,0,0,0.29,2.35,0.29,0.88,0,0,0,0,27.27,43.11,0.59,0.29,0,14.37,2.05,0.88,2.93,1.76,0,0,0,0,2.93,0,0,2.93,0,0,0,0,0,0,0,0.29,100
DW074,-28.48,-106.5,3030,21.6785,22.2379,24.1769,19.4716,20.8277,1.05,10.29,0,55.04,55.04,1.68,2.94,1.47,4.41,0.63,0,2.1,2.1,2.31,2.73,0.42,0,0,0,0,0,0,0,0,0,1.26,3.15,3.57,6.72,2.1,0,0.42,0,0,0.21,0,0,0.21,0.21,4.62,0,0.21,0,0,0,1.47,100
